what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351728332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351735117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351746266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351747537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351753528
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1408351754671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351755187
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.edit.text.java.rename.element",1408351755196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351757048
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1408351757898
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351758120
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1408351758132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351760834
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1408351761470
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351764416
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351770350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351771124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1408351771132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351774954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1408351776000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351777017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351779826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351783701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1408351784626
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351787101
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351790602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351801845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351802683
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1408351802691
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351818196
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351819866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351824417
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1408351826590
